

74,88,4,72
36,83,21


10
10

22,89

68,57,81





1




76,73,19,35
2

1















10
65,10,56

9

9




22
2


22
65


9
65




21

9



22





9






















