







44,80,40,20,53,28



35
46,88
87,34,51


32
35,14






8









4
52













8

72

13
35

32,14,92,53
35
14





64

14







32,94,14







20
10




13
57

52,14
13


57

8

