










87

26
48
73
38






30

89
61,28



11

82



92,66,71,59,21,56,61

18,24,71
26


62,48





10,15

11








26
63

39
7,13,71,15,14












77

5
89




62


48

42,71,54,36

62



62




