7,29,12



48,85

0
43





92,24,39,40,60,9,18
0



12
70



16,41




41









23


96,48



41


93,99,70,23





5


48,41

73
5












41
5


57


23
5




70







0


5

61
